,time_min,distance,name,gender
0,0.0,0.0,Aaron Davidson,M
1,5.0,0.9951569030717178,Aaron Davidson,M
2,10.0,1.9994643454971543,Aaron Davidson,M
3,15.0,3.015718954248366,Aaron Davidson,M
4,20.0,3.996111111111111,Aaron Davidson,M
5,25.0,4.974528732633227,Aaron Davidson,M
6,30.0,5.94468153895894,Aaron Davidson,M
7,35.0,6.88416940146898,Aaron Davidson,M
8,40.0,7.8166092114661945,Aaron Davidson,M
9,45.0,8.76419283222328,Aaron Davidson,M
10,50.0,9.66377408442418,Aaron Davidson,M
11,55.0,10.54914833215046,Aaron Davidson,M
12,60.0,11.429232246239781,Aaron Davidson,M
13,65.0,12.287069299264422,Aaron Davidson,M
0,0.0,0.0,Aaron Gruen,M
1,5.0,0.9964791071547199,Aaron Gruen,M
2,10.0,1.9960682393709184,Aaron Gruen,M
3,15.0,2.9904212654535813,Aaron Gruen,M
4,20.0,3.974258919202519,Aaron Gruen,M
5,25.0,4.945255120199308,Aaron Gruen,M
6,30.0,5.930327330090705,Aaron Gruen,M
7,35.0,6.9019151138716355,Aaron Gruen,M
8,40.0,7.874108647737586,Aaron Gruen,M
9,45.0,8.863824297952569,Aaron Gruen,M
10,50.0,9.839920820353063,Aaron Gruen,M
11,55.0,10.813784371652112,Aaron Gruen,M
12,60.0,11.77961636089066,Aaron Gruen,M
13,65.0,12.746556118334032,Aaron Gruen,M
14,70.0,13.710563470671287,Aaron Gruen,M
15,75.0,14.666687851536432,Aaron Gruen,M
16,80.0,15.617749493414387,Aaron Gruen,M
17,85.0,16.57304053190129,Aaron Gruen,M
18,90.0,17.513213481760154,Aaron Gruen,M
0,0.0,0.0,Abdi Abdirahman,M
1,5.0,0.9997667210984105,Abdi Abdirahman,M
2,10.0,2.001282613831978,Abdi Abdirahman,M
3,15.0,3.0134771773347326,Abdi Abdirahman,M
4,20.0,3.997212749213012,Abdi Abdirahman,M
5,25.0,4.975446719707839,Abdi Abdirahman,M
6,30.0,5.9952021233156385,Abdi Abdirahman,M
7,35.0,7.002967649360814,Abdi Abdirahman,M
8,40.0,7.981313592486303,Abdi Abdirahman,M
0,0.0,0.0,Abinet Adraro,M
1,5.0,0.9905894006934125,Abinet Adraro,M
2,10.0,1.9934140144423642,Abinet Adraro,M
3,15.0,3.0067160267330624,Abinet Adraro,M
4,20.0,3.9895492071812346,Abinet Adraro,M
5,25.0,4.970443027627923,Abinet Adraro,M
6,30.0,5.986271651808414,Abinet Adraro,M
7,35.0,6.996665993129927,Abinet Adraro,M
8,40.0,7.978307813113466,Abinet Adraro,M
9,45.0,8.964239934264585,Abinet Adraro,M
10,50.0,9.95371928088405,Abinet Adraro,M
11,55.0,10.942582154982036,Abinet Adraro,M
12,60.0,11.913877300216681,Abinet Adraro,M
13,65.0,12.855029400725636,Abinet Adraro,M
14,70.0,13.768613072331142,Abinet Adraro,M
15,75.0,14.599812256939789,Abinet Adraro,M
0,0.0,0.0,Adam Sjolund,M
1,5.0,0.9409403130194776,Adam Sjolund,M
2,10.0,1.9094349387068603,Adam Sjolund,M
3,15.0,2.8681220477467124,Adam Sjolund,M
4,20.0,3.8281204981272206,Adam Sjolund,M
5,25.0,4.778501216852619,Adam Sjolund,M
6,30.0,5.7170435053796975,Adam Sjolund,M
7,35.0,6.645217981130912,Adam Sjolund,M
8,40.0,7.574620141068266,Adam Sjolund,M
