,time_min,distance,name,gender
0,0.0,0.0,Abigail McNulty,F
1,5.0,0.8491367110104726,Abigail McNulty,F
2,10.0,1.7022487902077996,Abigail McNulty,F
3,15.0,2.55285196921684,Abigail McNulty,F
4,20.0,3.39948221521837,Abigail McNulty,F
5,25.0,4.241885928160437,Abigail McNulty,F
6,30.0,5.081253198385171,Abigail McNulty,F
7,35.0,5.934155910615797,Abigail McNulty,F
8,40.0,6.781239417541483,Abigail McNulty,F
9,45.0,7.628243865247225,Abigail McNulty,F
10,50.0,8.484084308594761,Abigail McNulty,F
11,55.0,9.339489836139423,Abigail McNulty,F
12,60.0,10.184012830252385,Abigail McNulty,F
13,65.0,11.027765425236241,Abigail McNulty,F
14,70.0,11.861561978877154,Abigail McNulty,F
15,75.0,12.693546598658314,Abigail McNulty,F
16,80.0,13.526542523624235,Abigail McNulty,F
17,85.0,14.363613417096701,Abigail McNulty,F
18,90.0,15.200713991487026,Abigail McNulty,F
19,95.0,16.02519019442096,Abigail McNulty,F
20,100.0,16.87049873203719,Abigail McNulty,F
21,105.0,17.69021355213824,Abigail McNulty,F
22,110.0,18.501266778071262,Abigail McNulty,F
23,115.0,19.315824175824176,Abigail McNulty,F
24,120.0,20.137203166226914,Abigail McNulty,F
25,125.0,20.944914113402618,Abigail McNulty,F
26,130.0,21.74444740346205,Abigail McNulty,F
27,135.0,22.553148805812345,Abigail McNulty,F
0,0.0,0.0,Adrian Walsh,F
1,5.0,0.846262341325811,Adrian Walsh,F
2,10.0,1.6954083222389031,Adrian Walsh,F
3,15.0,2.548628926515022,Adrian Walsh,F
4,20.0,3.398800641909964,Adrian Walsh,F
5,25.0,4.241312902955706,Adrian Walsh,F
6,30.0,5.080003408025901,Adrian Walsh,F
7,35.0,5.9320098832751125,Adrian Walsh,F
8,40.0,6.779412179903441,Adrian Walsh,F
9,45.0,7.627993206906312,Adrian Walsh,F
10,50.0,8.485582601181045,Adrian Walsh,F
11,55.0,9.344747302668939,Adrian Walsh,F
12,60.0,10.195829914844259,Adrian Walsh,F
13,65.0,11.044589774078478,Adrian Walsh,F
14,70.0,11.893918804144725,Adrian Walsh,F
15,75.0,12.73954195892842,Adrian Walsh,F
16,80.0,13.582208881532807,Adrian Walsh,F
17,85.0,14.420772637384063,Adrian Walsh,F
18,90.0,15.256707759245831,Adrian Walsh,F
19,95.0,16.094976185075982,Adrian Walsh,F
20,100.0,16.945509185756407,Adrian Walsh,F
21,105.0,17.768355088525848,Adrian Walsh,F
22,110.0,18.576959142665775,Adrian Walsh,F
23,115.0,19.371357637527765,Adrian Walsh,F
24,120.0,20.150027759551808,Adrian Walsh,F
25,125.0,20.90710644526321,Adrian Walsh,F
26,130.0,21.641223047874284,Adrian Walsh,F
27,135.0,22.368794668727062,Adrian Walsh,F
0,0.0,0.0,Alexandra Greitzer,F
1,5.0,0.8281116294476496,Alexandra Greitzer,F
2,10.0,1.6466028395800467,Alexandra Greitzer,F
3,15.0,2.4579776491180825,Alexandra Greitzer,F
4,20.0,3.2650770635304225,Alexandra Greitzer,F
5,25.0,4.070881845623113,Alexandra Greitzer,F
6,30.0,4.879420008624407,Alexandra Greitzer,F
7,35.0,5.68403140659753,Alexandra Greitzer,F
8,40.0,6.491590399827219,Alexandra Greitzer,F
9,45.0,7.302066428648707,Alexandra Greitzer,F
10,50.0,8.115179796870711,Alexandra Greitzer,F
11,55.0,8.938676914630799,Alexandra Greitzer,F
12,60.0,9.747422541656572,Alexandra Greitzer,F
13,65.0,10.55532510908797,Alexandra Greitzer,F
14,70.0,11.357927411652339,Alexandra Greitzer,F
15,75.0,12.153238379621065,Alexandra Greitzer,F
16,80.0,12.945987368866104,Alexandra Greitzer,F
17,85.0,13.719551117059611,Alexandra Greitzer,F
18,90.0,14.500301165379074,Alexandra Greitzer,F
19,95.0,15.281642549459619,Alexandra Greitzer,F
20,100.0,16.056977791911805,Alexandra Greitzer,F
21,105.0,16.85201674882069,Alexandra Greitzer,F
22,110.0,17.511779994969398,Alexandra Greitzer,F
23,115.0,18.168551183476556,Alexandra Greitzer,F
24,120.0,18.922357907432534,Alexandra Greitzer,F
25,125.0,19.663281654383674,Alexandra Greitzer,F
26,130.0,20.40657426530968,Alexandra Greitzer,F
27,135.0,21.14662630788665,Alexandra Greitzer,F
0,0.0,0.0,Aliphine Tuliamuk,F
1,5.0,0.9007926975738649,Aliphine Tuliamuk,F
2,10.0,1.8387056236255104,Aliphine Tuliamuk,F
3,15.0,2.7749797419435267,Aliphine Tuliamuk,F
4,20.0,3.708399415368349,Aliphine Tuliamuk,F
5,25.0,4.625128826917248,Aliphine Tuliamuk,F
6,30.0,5.53742761353246,Aliphine Tuliamuk,F
7,35.0,6.4458313282001924,Aliphine Tuliamuk,F
8,40.0,7.337286555160557,Aliphine Tuliamuk,F
9,45.0,8.20692899914457,Aliphine Tuliamuk,F
10,50.0,9.063895056678742,Aliphine Tuliamuk,F
0,0.0,0.0,Allie Schaich,F
1,5.0,0.847457627118644,Allie Schaich,F
2,10.0,1.6950723327305606,Allie Schaich,F
3,15.0,2.5467535794597365,Allie Schaich,F
4,20.0,3.397072097483922,Allie Schaich,F
5,25.0,4.2405857740585775,Allie Schaich,F
6,30.0,5.079068839753818,Allie Schaich,F
7,35.0,5.933867107362662,Allie Schaich,F
8,40.0,6.778637335433779,Allie Schaich,F
9,45.0,7.626922750063738,Allie Schaich,F
10,50.0,8.484483850538316,Allie Schaich,F
11,55.0,9.343317906930524,Allie Schaich,F
12,60.0,10.194359583616203,Allie Schaich,F
13,65.0,11.04302750474464,Allie Schaich,F
14,70.0,11.892813641900121,Allie Schaich,F
15,75.0,12.738312492959334,Allie Schaich,F
16,80.0,13.582995495495496,Allie Schaich,F
17,85.0,14.421561008104808,Allie Schaich,F
18,90.0,15.25590166224333,Allie Schaich,F
19,95.0,16.095414977174126,Allie Schaich,F
20,100.0,16.94606856267899,Allie Schaich,F
21,105.0,17.770188037936517,Allie Schaich,F
22,110.0,18.597028116886705,Allie Schaich,F
23,115.0,19.42306108442004,Allie Schaich,F
24,120.0,20.238911933631144,Allie Schaich,F
25,125.0,21.036693580621954,Allie Schaich,F
26,130.0,21.83611799504357,Allie Schaich,F
27,135.0,22.63264277567044,Allie Schaich,F
0,0.0,0.0,Alyssa Bloomquist,F
1,5.0,0.8186432352780659,Alyssa Bloomquist,F
2,10.0,1.6324027187305372,Alyssa Bloomquist,F
3,15.0,2.446477112101772,Alyssa Bloomquist,F
4,20.0,3.2542475728155336,Alyssa Bloomquist,F
5,25.0,4.045859906321946,Alyssa Bloomquist,F
6,30.0,4.839741723782053,Alyssa Bloomquist,F
7,35.0,5.625055472890073,Alyssa Bloomquist,F
8,40.0,6.413994863784385,Alyssa Bloomquist,F
9,45.0,7.204173804703317,Alyssa Bloomquist,F
10,50.0,7.9828687120386235,Alyssa Bloomquist,F
11,55.0,8.781503875556028,Alyssa Bloomquist,F
12,60.0,9.580541202791244,Alyssa Bloomquist,F
13,65.0,10.376134923986488,Alyssa Bloomquist,F
14,70.0,11.161784897025171,Alyssa Bloomquist,F
15,75.0,11.924561403508772,Alyssa Bloomquist,F
16,80.0,12.679169911815693,Alyssa Bloomquist,F
