time_min,distance,name,sex,flag_finished,last_distance,last_time,distance_diff_m,rank
0.0,0.0,Aaron Davidson,M,0,13.0,69.29683333333334,0.0,1.0
0.0,0.0,Aaron Gruen,M,0,18.0,92.631,0.0,1.0
0.0,0.0,Abdi Abdirahman,M,0,8.0,40.0955,0.0,1.0
0.0,0.0,Abinet Adraro,M,0,15.0,77.48683333333334,0.0,1.0
0.0,0.0,Adam Sjolund,M,1,26.2,153.9495,0.0,1.0
0.0,0.0,Adam Wollant,M,1,26.2,145.4215,0.0,1.0
0.0,0.0,Afewerki Zeru,M,1,26.2,140.594,0.0,1.0
0.0,0.0,Aidan Reed,M,1,26.2,140.47183333333334,0.0,1.0
0.0,0.0,Alan Peterson,M,1,26.2,136.91199999999998,0.0,1.0
0.0,0.0,Alberto Mena,M,1,26.2,141.82833333333335,0.0,1.0
0.0,0.0,Alex Norstrom,M,1,26.2,141.9785,0.0,1.0
0.0,0.0,Alexander Burks,M,1,26.2,138.45333333333335,0.0,1.0
0.0,0.0,Alexander Taylor,M,0,18.0,99.643,0.0,1.0
0.0,0.0,Andrew Bowman,M,0,17.0,90.10166666666667,0.0,1.0
0.0,0.0,Andrew Colley,M,0,19.0,92.61833333333334,0.0,1.0
0.0,0.0,Andrew McCann,M,1,26.2,143.74016666666665,0.0,1.0
0.0,0.0,Austin Bogina,M,1,26.2,144.27349999999998,0.0,1.0
0.0,0.0,Awet Beraki,M,1,26.2,139.5186666666667,0.0,1.0
0.0,0.0,Ben Olson,M,0,18.0,94.911,0.0,1.0
0.0,0.0,Benjamin Decker,M,1,26.2,139.57416666666668,0.0,1.0
0.0,0.0,Benjamin Kendell,M,1,26.2,137.3685,0.0,1.0
0.0,0.0,Benjamin Payne,M,1,26.2,137.07333333333332,0.0,1.0
0.0,0.0,Benjamin Schneiderman,M,1,26.2,138.70116666666667,0.0,1.0
0.0,0.0,Biya Simbassa,M,1,26.2,132.34833333333333,0.0,1.0
0.0,0.0,Bradley Taylor,M,0,12.0,66.49216666666668,0.0,1.0
0.0,0.0,Brendan Martin,M,1,26.2,147.43800000000002,0.0,1.0
0.0,0.0,Brian Harvey,M,1,26.2,143.779,0.0,1.0
0.0,0.0,Brian Masterson,M,0,19.0,99.58133333333333,0.0,1.0
0.0,0.0,Brian Shrader,M,0,17.0,86.18483333333333,0.0,1.0
0.0,0.0,CJ Albertson,M,1,26.2,130.11466666666666,0.0,1.0
0.0,0.0,Caleb Kerr,M,1,26.2,138.82533333333333,0.0,1.0
0.0,0.0,Cameron Dickson,M,1,26.2,149.49883333333335,0.0,1.0
0.0,0.0,Chad Beyer,M,1,26.2,148.96966666666668,0.0,1.0
0.0,0.0,Charles Lawrence,M,0,14.0,73.96033333333334,0.0,1.0
0.0,0.0,Charlie Sweeney,M,1,26.2,143.24033333333333,0.0,1.0
0.0,0.0,Chase Weaverling,M,1,26.2,137.88533333333334,0.0,1.0
0.0,0.0,Clayton Young,M,1,26.2,129.0885,0.0,1.0
0.0,0.0,Clint McKelvey,M,1,26.2,137.8845,0.0,1.0
0.0,0.0,Colin Bennie,M,1,26.2,132.27,0.0,1.0
0.0,0.0,Colin Martin,M,1,26.2,140.91400000000002,0.0,1.0
0.0,0.0,Colin Mickow,M,1,26.2,134.97316666666669,0.0,1.0
0.0,0.0,Collin Buck,M,0,13.0,67.34016666666666,0.0,1.0
0.0,0.0,Conner Mantz,M,1,26.2,129.06866666666667,0.0,1.0
0.0,0.0,Connor Rockett,M,1,26.2,147.38566666666665,0.0,1.0
0.0,0.0,Connor Weaver,M,1,26.2,133.91866666666667,0.0,1.0
0.0,0.0,Connor Winter,M,1,26.2,133.0445,0.0,1.0
0.0,0.0,Daniel Docherty,M,1,26.2,140.66966666666667,0.0,1.0
0.0,0.0,Daniel Mesfun,M,1,26.2,134.05433333333335,0.0,1.0
0.0,0.0,Daniel Schubert,M,1,26.2,148.15883333333335,0.0,1.0
0.0,0.0,Daniel Vassallo,M,1,26.2,147.50533333333334,0.0,1.0
0.0,0.0,David Fuentes,M,1,26.2,141.61416666666668,0.0,1.0
0.0,0.0,Dominic Hockenbury,M,1,26.2,141.2485,0.0,1.0
0.0,0.0,Donald Cowart,M,1,26.2,145.54366666666667,0.0,1.0
0.0,0.0,Duriel Hardy,M,1,26.2,143.708,0.0,1.0
0.0,0.0,Dylan Belles,M,1,26.2,145.97400000000002,0.0,1.0
0.0,0.0,Dylan Marx,M,1,26.2,141.56016666666667,0.0,1.0
0.0,0.0,Edward Mulder,M,1,26.2,144.71616666666665,0.0,1.0
0.0,0.0,Elkanah Kibet,M,1,26.2,130.02583333333334,0.0,1.0
0.0,0.0,Emilio de la Torre,M,0,14.0,73.34750000000001,0.0,1.0
0.0,0.0,Eric Vazquez-Olivas,M,0,11.0,69.95616666666666,0.0,1.0
0.0,0.0,Erik Linden,M,1,26.2,144.96916666666667,0.0,1.0
0.0,0.0,Evan Landes,M,1,26.2,145.45499999999998,0.0,1.0
0.0,0.0,Frank Lara,M,1,26.2,134.91366666666667,0.0,1.0
0.0,0.0,Futsum Zienasellassie,M,1,26.2,133.95516666666668,0.0,1.0
0.0,0.0,Galen Rupp,M,1,26.2,134.11350000000002,0.0,1.0
0.0,0.0,Garret Lee,M,1,26.2,136.57250000000002,0.0,1.0
0.0,0.0,Grayson Hough,M,1,26.2,142.38216666666668,0.0,1.0
0.0,0.0,Habtamu Cheney,M,1,26.2,135.71416666666667,0.0,1.0
0.0,0.0,Henry Sterling,M,1,26.2,147.2275,0.0,1.0
